prefecture_en,prefecture_mn,region
Suhbaatar,Сүхбаатар,Ulaanbaatar
Chingeltei,Чингэлтэй,Ulaanbaatar
Songinokhairkhan,Сонгинохайрхан,Ulaanbaatar
Bayangol,Баянгол,Ulaanbaatar
Bayanzurkh,Баянзүрх,Ulaanbaatar
Khan-Uul,Хан-Уул,Ulaanbaatar
Baganuur,Багануур,Ulaanbaatar
Nalaikh,Налайх,Ulaanbaatar
Bagakhangai,Багахангай,Ulaanbaatar
Unknown,Тодорхойгүй,Ulaanbaatar
Sukhbaatar,Сүхбаатар,Selenge
Mandal,Мандал,Selenge
Altanbulag,Алтанбулаг,Selenge
Sainshand,Сайншанд,Dornogovi
Zamiin-Uud,Замын-Үүд,Dornogovi
Airag,Айраг,Dornogovi
Khongor,Хонгор,Darkhan-Uul
Shariin-Gol,Шарын Гол,Darkhan-Uul
Darkhan,Дархан,Darkhan-Uul
Choir,Чойр,Govisumber
Erdenet,Эрдэнэт,Orkhon
Imported,Зөөвөрлөгдсөн,Other
HUSUT,Эрүүл мэндийн ажилтан,Other
Enhsaran,Тусгаарлалтад,Other
Battsengel,Батцэнгэл,Arkhangai
Uliastai,Улиастай,Zavkhan
Zuunmod,Зуунмод,Tuv
Murun,Хөвсгөл,Khuvsgul
Arvaikheer,Арвайхээр,Uvurkhangai
Ulaangom,Улаангом,Uvs
Bayankhongor,Баянхонгор,Bayankhongor
Undurkhaan,Хэнтий,Khentii
Bulgan,Булган,Bulgan
Khovd,Ховд,Khovd
Baruun-Urt,Баруун-Урт,Sukhbaatar1
Choibalsan,Чойбалсан,Dornod
Mandalgovi,Мандалговь,Dundgovi
Ulgii,Өлгий,Bayan-Ulgii
Altai,Алтай,Govi-Altai
